"CATEGORY","CREATEDAT","DESCRIPTION","ID","IMAGEURL","NAME","PRICE","STOCK","UPDATEDAT"
"小家具-椅子","2026-06-27T11:08:36","【中古】引越しのため出品。座面に使用感あり、状態良好です。","1","/api/files/product-fa-01.png","2人掛けソファ グレー","12000","1","2026-06-27T11:08:36"
"小家具-テーブル","2026-06-27T11:08:36","【中古】天板に小さな傷あり。脚は安定しています。","2","/api/files/product-fa-02.png","IKEA ダイニングテーブル 120cm","8000","1","2026-06-27T11:08:36"
"小家具-テーブル","2026-06-27T11:08:36","【中古】テレワーク用に使用。天板キズ少なめ。","3","/api/files/product-fa-03.png","ワークデスク 120cm ホワイト","6500","1","2026-06-27T11:08:36"
"小家具-椅子","2026-06-27T11:08:36","【中古】昇降・リクライニング正常動作。張地に経年感。","4","/api/files/product-fa-04.png","オフィスチェア 肘付き","4500","1","2026-06-27T11:08:36"
"小家具-ベッド","2026-06-27T11:08:36","【中古】1年使用。解体してお渡し可能です。","5","/api/files/product-fa-05.png","シングルベッド フレーム","15000","1","2026-06-27T11:08:36"
"小家具-ベッド","2026-06-27T11:08:36","【中古】非喫煙者使用。汚れ・へたり少なめ。","6","/api/files/product-fa-06.png","マットレス セミダブル","9000","1","2026-06-27T11:08:36"
"生活雑貨-収納","2026-06-27T11:08:36","【中古】組み立て済み。棚板わずかに色褪せ。","7","/api/files/product-fa-07.png","3段本棚 ワイド","3500","1","2026-06-27T11:08:36"
"小家具-テーブル","2026-06-27T11:08:36","【中古】50V型まで対応。背面配線穴あり。","8","/api/files/product-fa-08.png","テレビ台 150cm ロータイプ","5000","1","2026-06-27T11:08:36"
"生活雑貨-収納","2026-06-27T11:08:36","【中古】引き出し2段。角に軽い擦り傷。","9","/api/files/product-fa-09.png","ローボード ホワイト","4000","1","2026-06-27T11:08:36"
"生活雑貨-収納","2026-06-27T11:08:36","【中古】収納力抜群。取っ手交換済み。","10","/api/files/product-fa-10.png","チェスト 4段 木製","6000","1","2026-06-27T11:08:36"
"小家具-テーブル","2026-06-27T11:08:36","【中古】一人暮らし向け。折りたたみ機構良好。","11","/api/files/product-fa-11.png","折りたたみテーブル 80cm","2000","1","2026-06-27T11:08:36"
"小家具-椅子","2026-06-27T11:08:36","【中古】座面クッションやわらかめ。セット売り。","12","/api/files/product-fa-12.png","ダイニングチェア 2脚セット","5500","1","2026-06-27T11:08:36"
"小家具-テーブル","2026-06-27T11:08:36","【中古】ヒーター動作確認済み。天板に使用感。","13","/api/files/product-fa-13.png","こたつ 正方形 75cm","11000","1","2026-06-27T11:08:36"
"生活雑貨-収納","2026-06-27T11:08:36","【中古】クローゼット整理に。キャスター交換済。","14","/api/files/product-fa-14.png","衣装ケース 3段 キャスター付","2500","1","2026-06-27T11:08:36"
"小家具-ベッド","2026-06-27T11:08:36","【中古】湿気対策に人気。すのこ板状態良好。","15","/api/files/product-fa-15.png","すのこベッド シングル","7000","1","2026-06-27T11:08:36"
"小家具-テーブル","2026-06-27T11:08:36","【中古】ベッド横に便利。天板リング跡わずか。","16","/api/files/product-fa-16.png","サイドテーブル ナイト","1800","1","2026-06-27T11:08:36"
"生活雑貨-収納","2026-06-27T11:08:36","【中古】書類・雑貨収納用。横倒れ防止金具付。","17","/api/files/product-fa-17.png","カラーボックス 6段","2200","1","2026-06-27T11:08:36"
"生活雑貨-収納","2026-06-27T11:08:36","【中古】引き出し3段。鏡に小さなキズ。","18","/api/files/product-fa-18.png","ミラー付きドレッサー","8500","1","2026-06-27T11:08:36"
"生活雑貨-その他","2026-06-27T11:08:36","【中古】間仕切り・目隠し用。折りたたみ式。","19","/api/files/product-fa-19.png","パーテーション 3連 木目","3200","1","2026-06-27T11:08:36"
"生活雑貨-その他","2026-06-27T11:08:36","【中古】洗濯済み。こたつ本体別売り。","20","/api/files/product-fa-20.png","こたつ布団セット 正方形","4800","1","2026-06-27T11:08:36"
